"code","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4"
"01001",3109661.572765,3437333.99315575,3094138.28170254,3140827.82515587,3175622.10729009
"01003",9450082.09733325,8441730.827015,9398002.41822677,10196404.7371523,9870087.20509798
"01005",3613226.85465092,3612352.06291356,3612347.700189,3612347.67842092,3612347.6783123
"01007",760292.272439734,536268.869873669,615454.165945111,605025.72518386,741501.549352377
"01009",617128.342253722,504556.806729972,576166.168993909,487417.826232221,514763.324747713
"01011",2689729.31760681,2657296.13122904,2568051.61857768,2549616.46240341,2545600.57622438
"01013",2396661.73192115,2409740.09774709,2409738.77594425,2409738.78061777,2409738.78060124
"01015",3291003.9196094,3317056.9164313,3342300.93312196,3367545.74787181,3392790.56183316
"01017",2412403.70656841,2230000.75607861,2154616.70503003,2301923.67801827,2494318.80410316
"01019",1652585.64729614,1386043.85995758,1644357.33993635,1483719.68763155,1564475.92753663
"01021",1651154.51958259,1421323.07705727,1579950.30761069,1648805.33733039,1607710.59231799
"01023",3602834.11890663,2720561.20844283,2790490.44491733,3025810.41082131,3112874.59600424
"01025",4736815.4829391,4447985.91076258,4615494.23712116,4647132.89015137,4694972.30662935
"01027",649952.970119338,664513.185381247,657185.952306298,660883.367690459,659017.604668702
"01029",725767.348694449,684163.315677569,689606.589631016,657497.723044003,636556.594930854
"01031",7438798.66900137,7191957.63636613,14139037.8932093,9552324.56179832,8096109.81730019
"01033",3032488.69295062,2507804.07628027,2654619.21159154,2913827.33135751,2797261.00963808
"01035",2351786.81454112,2312575.73947624,2318597.7184267,2317617.75815399,2317775.81783691
"01037",337488.583415631,365902.774824461,330522.491725125,344940.757617454,351598.796544382
"01039",2535844.5518738,1911765.34381306,2094189.72010722,2070967.9155314,2135546.38137683
"01041",2219368.16223628,1890319.29001539,2281428.54340321,1912574.05562829,2254040.60870458
"01043",4701353.6732873,3287620.27754012,4419799.48957866,4987972.55279448,4477742.81387621
"01045",853841.054371781,848537.129489864,841460.492747845,835773.634171481,830107.924508574
"01047",2501736.63547815,1749390.44318598,1809363.65145935,1838377.28166559,2331760.06156053
"01049",3814464.04787509,3770220.34188401,3810361.96388523,3867486.40272948,3891240.15273383
"01051",3003866.41990258,2766294.21239422,2901209.3717468,2761022.52624283,2911461.68731602
"01053",6304745.0961327,5105213.94289101,5267392.99999692,5470278.15515022,6338286.11351371
"01055",543737.227268807,585383.715393319,532804.190410167,570581.76589336,544240.81227167
"01057",1694290.06229206,1659768.32141755,1671474.53649997,1667705.21729664,1668940.47092641
"01059",1611171.9962802,1576439.61645491,1554009.13385647,1539784.20608372,1530760.76300636
"01061",3909125.10539789,3918988.26603259,3945912.3062718,3979211.64004283,4014893.33646527
"01063",417050.623254679,340843.105496808,407179.150758023,411680.389970943,408732.201262317
"01065",2373179.45523517,2048811.0264324,2174820.32103977,2223009.42601119,2374493.26768389
"01067",3512727.95530079,2902518.13649352,2942357.71716912,2908894.44976372,3471712.74318062
"01069",1736148.95515417,1263288.357341,1869340.81442954,1550876.55950949,1877085.95644402
"01071",522660.579622517,505360.730122563,506990.943733135,522027.523931387,522333.289640207
"01073",33566784.1702261,33911165.9975769,33163483.5233592,31770619.6174736,34954965.417989
"01075",617244.543617853,560087.017188614,579499.093447341,600615.925075432,630247.449393147
"01077",2414351.55528172,1860621.24236398,2038033.87841352,2021712.47020011,2543954.53173549
"01079",2489108.82411406,1510004.68155168,1619387.89070764,1759966.75177002,2321768.66675953
"01081",6831799.93401446,5037193.92827606,8534403.98923047,5483498.14062067,10604662.0373514
"01083",6371228.33735269,5583955.82415016,5252963.70840723,5893584.89401287,6290916.64611388
"01085",1472912.63592742,1365896.62596664,1548818.03467345,1399713.27318841,1470848.29857194
"01087",182759.268789279,233516.683608613,276351.856856118,313193.144401295,344867.58962991
"01089",14417141.3018954,32136833.5130514,12680344.6785032,49576019.9682517,14410339.4552867
"01091",5231622.35253323,5263733.76412087,3620479.76308294,3183621.7873761,5225136.35236477
"01093",753438.873959008,773643.330843359,761820.753253377,733879.589125464,714031.490332817
"01095",3060434.84424104,3459108.87198869,2992818.68765604,3435460.92575475,3047187.38742194
"01097",9813146.65314098,9374320.29682513,9129422.87876508,9796131.49415717,9627957.26553022
"01099",3797724.7716071,3569193.07273838,3385465.70243062,3588569.84346927,3759833.32366813
"01101",1900491.84611929,1875984.79995308,1850913.50111768,1996906.68145019,1974242.667157
"01103",2810348.57086505,2356607.20722252,2865536.64694671,2435149.89586258,2918837.990482
"01105",378255.089941791,284353.371045344,307158.720473928,300326.480180618,311513.434993967
"01107",2336696.76421654,2147371.81958259,2099305.13788671,2244503.61705344,2302514.65508545
"01109",1810167.16082137,1340507.17120275,1470251.02258517,1493085.26349427,1764794.07302539
"01111",1239465.83263581,1324663.86130141,1304338.92498042,1331495.47949651,1333184.66741102
"01113",768284.215675634,770266.470952736,770120.75674251,770131.589970397,770130.785236693
"01115",611262.45146285,510839.659147014,988154.158394909,806174.667378771,1126650.6995668
"01117",9309836.8060226,8716436.47602185,8318491.08507722,9067204.22218387,9832427.39691162
"01119",547696.039217119,416313.582364983,516790.67912785,546950.167301983,637551.307540777
"01121",7779456.90480049,7475245.88183126,7818720.85102243,7568495.39078488,7798120.26150615
"01123",1116374.66754348,1008434.77543929,978643.055678463,1005973.12520058,1236709.8525298
"01125",18013752.6855475,21813553.1078444,8289351.13098088,22603510.534224,18211717.4679017
"01127",3377035.92699618,2657953.05119097,3123762.61015151,2702266.61655372,3072036.84170224
"01129",2791418.05968264,2467449.94326237,2400229.93324658,2557670.58037039,2534681.85082713
"01131",911950.586947223,911960.269165979,911960.266436101,911960.266436871,911960.26643687
"01133",434421.699983396,-663961.714097616,907992.78461881,881060.93755519,580994.362856875
"02013",1022.72757645847,759.467993101022,676.937272099495,875.70276237236,4807.27217450308
"02016",1192181.11189165,984899.201822958,1274642.22538922,1142438.1998115,1151903.25319608
"02020",72444418.2914386,104919343.778403,68223374.8414886,80708380.1167147,64770958.4233246
